Review	Score
"I have had this tuner for about half a year and frankly, I have had enough.The main problem with this tuner is the usability.The tuner has a poor display, is extremely finicky and it does not display the octave of the key.Tuning with it can be condensed into one word - frustrating.The needle is very finicky and jumps all over when ever I pick the strings, especially so when the guitar is much out of tune.The poor display is dark, with no build-in light, and has poor visibility at angles too. Combine all that you have a terrible, accurate tuner.Yes, it is accurate but only as accurate as what the graph can display, which is +/-2 cents.Enough said, I bought a new tuner, the Seiko SAT800, for a bit more money that this.The main differences between SAT800 and the CA-40:SAT800 has a build-in light, CA-40 does not.CA-40 has a build-in stand at the back to prop it up to a 45deg angle, SAT800 does not.SAT800 has a auto and manual mode, CA-40 has auto.SAT800 displays the octave of the note, e.g. 1E, 2E, etc, CA-40 displays only displays the alphabet, E for all oactaves.SAT800 has a numerical display for the cents off, CA-40 does not.The needle graph on the Seiko is much more stable and it is just way more usable overall.I wholly recommend you do not purchase this tuner. I was fooled into buying it by the other reviewers on Amazon and I hope you would not be."	0
"If you want your guitar to sound like Eddie Van Halen, Joe Satriani and other guitarists studio album guitar sound, then get a BOSS GT-10 (guitar multi effects processor) and install BOSS GT-10 Patches by James Limborg. Search Google for BOSS GT-10 Patches by James Limborg."	0
Well this cable certainly didn't last long as the title says 8 weeks.  Bought a new Fender Mustang2 v2 amp a week and a half ago.  Last night amp would turn on but wasn't putting out any sound from the guitar. Messed around a bit and it started to work.  Today same thing and it's obvious nothing is going from guitar to amp.  Thought I had a bad jack in my new amp and wasn't very happy.  Got out the old amp and guess what nothing there either.  At least my new amp is working and I only have to replace a $12 cord.Maybe I'm just unlucky and got a bad one and if I bought it at a local store I'd return it.  Not going through the hassles of mailing it back or asking for a refund.  Will just move on to another company's cord.	0
"It's simple, basic, but I don't think it does that good of a job. This is because it doesn't really humidify that much and doesn't extend very far into the guitar."	0
wanted it just on looks alone...It is a nice looking cord... I know it will perform...as for Sam Ash ...this cord was packed in a mailer inside another box with my Roc n Soc... his shipping team do great work..never any complaints from me... I love Sam Ash.. thanks Amazon	1
"It does not stick on to the guitar very well.  Trying some of the other reviews as to ways to get it to stick worked but I now have a small circle in the finish of my Martin.  I made mistake of attaching so wife could play Rocksmith and now wish I had used cheaper guitar or better yet, bought a better pickup."	0
"the suction cup does not work. it looks like aged. it's very hard with room temp 70F. I removed the rubber suction cup and I have to use a big paper clipper to secure it on the sound hole edge. it picks up sound OK, but not great."	0
"This is a superb tremolo pedal: [1] Its dials allow for enormous control of the effect. [2] It's very sturdy--an often-noted feature of BOSS pedals. Further, [3] it's utterly easy to use, [4] allows for both 9v battery and power supply/adapter operation, and, most important of all, [5] it delivers beautiful tremolo. (Note: It comes with a 9v battery installed, but it does NOT come with a power source/adapter.) If the price is more than you're willing to pay, consider the DANELECTRO COOL CAT TREMOLO. This also delivers good tremolo, but it does not allow for as much sound-manipulation as the BOSS product; it's still quite good, but the BOSS takes the prize. I paid about $75 for mine and have zero regrets."	1
"I bought one of these to try on my Asher Junior lap steel guitar to hold two finger picks and a thumb pick. Worked, but it was difficult getting all three picks in one Wedgie so I ordered a second one. Between the two of them, between the 2nd/3rd and 4th/5th strings up next to the nut, works pretty good holding these types of picks (which admittedly, the Wedgie was not actually designed for). Liked it so much I ordered two more for my acoustic and electric guitar and one for my bass (the bass version). Only down side I see is -- they DO seem loose like they could fall out AND I doubt the picks will stay in place when I case my guitar (haven't tried it yet). But otherwise, worth the price and a good doo-dad to have around. Especially if you have a lap steel and need a place to stick your finger picks on the guitar itself (real help to me staying organized!)."	1
"I purchased Elixir strings after hearing them repeatedly recommended at the music store.  Put them on my Eko Ranger XII acoustic 12 string.  Have 2 problems with the strings.  First, the bass E (11th string) broke while tuning it up.  Had to go to music store and buy a single replacement string (not Elixir).  I have changed strings many, many times, so I am convinced it was not my stringing, but a weakness in the E string itself.  Second, the high D (8th string) seems ""dead""; it does not ""ring"" as it should and as the other high strings do (though none as much as other 12 string sets I've used).  Considering these strings cost much more than others, I certainly am disappointed in them.  Hardly matters if they last longer if they don't sound as good."	0
"If you expect to get what you pay for, prepare to be disappointed. Sounds weak. Sounds old. Sounds worn. Sounds dull. I wanted to experience a new brand on my Stratocaster. I can afford to pay twice as much. But I am going to keep using my D'adario Strings from now on. I am so disappointed. These strings are for the &#34;campfire guitarist&#34; not the aggressive picking thrilling, tapping, pull offs, or sweepers. If you are a tone fanatic keep looking. If your guitar deserves the best, do not betray your instrument or insult your tube amp with these strings. Respect your GUITAR.  I wouldn't be surprised if they are made from China."	0
"I have an electro acoustic Martin (second hand but without a scratch). I got it with .13 strings and well, is simply too much. Is good to play rithyms but can't do pretty much nothing else.I have installed a set (I got 8) and it sounds really good. Not as solid as the .13 but now i have more range to do solos and go up and down much easier.Recomended"	1
"I didn't expect this cable to be so thin. It's easily 1/2 the thickness of any guitar cable I've used. Not sure about long-term durability or signal loss/interference. If I had the foresight I'd spend a couple extra bucks on a thicker cable.  Still, it works and was inexpensive.EDIT: 6 months later and it's dead already.  Wire frayed at the right angle jack.  You get what you pay for."	0
30 feet of cable for what I paid for a 10 footer from my local guitar shop.I highly recommend!	1
"it sounds great.  nice and warm and lush.  one of the better trems i've had the pleasure to use.  however, i hate the plastic housing, and how the input/output jacks are located.  I don't have heavy feet, so it will probably last a good long while on my board, but i really wouldn't want to put too much weight on it."	1
"This stuff works great and is well worth the price, I used it to clean the pots on several guitars and a bass amp along with various effect pedals, no more scratchiness, no more jarring volume spikes, all my knobs glide now better than the day they were new, I'll always keep a can of this around, nothing more to say, great stuff."	1
"exactly the same as describe here, love the sound and easy to play. great price for excellent sound, highly recommend to everyone."	1
"I ordered 1 just to try it since it was so cheap, the first one arrived in non working condition, wires inside werent even soldered, so i ordered a replacement, plugged it in and it didnt work either, the second wasnt soldered either.I know its cheap, but i expected it to at least work, do not buy"	0
"I can only repeat what everyone else has already said: this Kyser capo is designed and built very well. It's easy to put on and adjust, and just as easy to take off. There are probably a few capos out there that are a bit flashier, but this is still pretty stylish. And the price makes it a real bargain."	1
"i've had these straplocks for a few years now and they haven't failed me once! i love them, and i never have to worry about my guitars getting damaged from a strap falling off or so. they rotate in full circles, and are super durable. you should buy them for all your guitars, and you'll never have to worry again. they are also very easy to use, and &#34;install&#34;."	1
"My review(s) for this have changed a few times, but no more. When I first got it I liked the sound, though it did sound a little cold and digital, and this is from someone wanting to record shoegaze/dreampop, which by it's nature is full of cold tones (reverb/chorus/delay) shimmering, a la cocteau twins, chapterhouse, lush, so at first I thought it was great. Then the fuse software was even cooler, all this customizing the sound, though it did sound noisy and needed the compressor to take some of the noise away.After all of that I finally realized I was trying to ignore the fizz/crackle/hair, it's called a few things. Go to the fender forums and look it up, or search it on yahoo/google.The thing happening with this amp I think is a few things. Fender guitars sound best through it, which is silly if you don't own a fender, and I don't and refuse to get a squire as that body is so played out, I wanted ANYTHING but a strat body, unless I have a grand to pay for an older one, I'm not going to get a rinky dink one, and I would only get one after I got like 5 other dream guitars first.so everyone has different problems with pickup quality and guitar quality. Also, playing into a modeling amp is like playing into a computer, that may be fine for some (younger folks), but to a lot of people I've read the complaints I was trying not to realize, as I didn't feel like having to pay for shipping to return it, BUT I DID!And I am so glad I did. I almost got a peavey vypyr, and I am glad I didn't. This amp, to be fair, is really close to being really cool, but that sound problem, which I read on fender's own forum/website, FENDER ACKNOWLEDGES IT EXISTS, BUT DOES NOTHING TO FIX IT IN FUTURE MODELS!! sorry, but that's some big company b.s.I've been reading of people saying it sounds cold and lifeless and all that and tube this and tube that, and I was like ""what music snobs"" and what have you. But I realized that I'm a music snob! I love the music I listen to more than anything, and feel like the music I create should have a life to it as well. So I returned the mustang 2 and ALMOST got a marshall mg 30 watt, cause I wanted an amp with a clean sound that didn't have that crackle sound, but THANKFULLY I caught myself before that return, as after that, it would have been final.The decision I did make I think will be great for me, as I'd rather start with a good real tone, then get the effects I need. I kept reading reviews of these teenagers that hadn't played for more than a year or two or so saying ""throw away your pedals, you won't need them"" and ""I was going to get pedals, but don't need to now"", that's kind of the danger of these amps, they end up making everyone sound the same! No matter what tweaking I was doing on the mustang, it sounded the same but in a different costume.I think this amp and modeling amps are best for beginning guitarists and I've seen some old timers getting an amp for home use after years, maybe that's for them, but I needed something to record with and practice and get the best, most real tone possible, so that means tube amp.I think if I played this at a GC I wouldn't of gotten it, and I just tried to make myself like it."	0
"This capo does exactly what it should.  It clamps the strings tight to there is no buzz and it does not change the tune of the guitar when used.  I have 4 Kyser capos, one for each of my guitars and will never buy another brand."	1
"My issue with the Pedaltrain 2 is the accommodation of a power supply. I have a Voodoo Lab Pedal Power 2 Plus.The documentation that comes with this pedalboard specifically states that this power supply mounts under the board, and it even includes mounting brackets that fit this power supply. However, if you actually try to mount it to the underside of the board as suggested, you're in for an unpleasant surprise.First of all, regarding the two circular holes on the front of the board. The fitment to the power supply is there... sort of. There's no way to align them perfectly because the holes on the pedaltrain 2 are slightly too close together. I wasn't worried about this, since I doubt I'll ever chain them and only have access to 1 outlet.The second issue is, the allegedly self-tapping screws that come with the mounting kit strip as though they were made of butter. Once you've got them in (or attempted to do so), they're never coming out. You'll probably have to break them. It's a shame to have cut corners on something so inexpensive.The main issue I have with this board relating to my Voodoo Lab power supply is this. Once you get the power supply mounted properly on the underside of the board (it can only go one place), you begin to plug in your pedals and you discover that the cables supplied with the power supply don't fit the mounting location on this board. You can't plug them in because there's not enough clearance between the frame of the pedalboard and the sockets the cables plug in to.I really only bought this pedalboard because of the supposed perfect compatibility with the Voodoo Lab power supply I own, but given that it doesn't fit like it's supposed to, I wish I could return this board - except I can't, because it now has holes drilled in it. (You have to drill the board to mount the power supply underneath it.)Basically, I paid $100 for a plain flat sheet metal metal rectangle and a couple rolls of velcro. Needless to say, I'm not very pleased."	0
"the cables are great for the price cant go wrong I have not used them for a long time but so far no problems i ordered 6 more cables.don't buy this cables they keep failing, cheap material with WHAT I SPENT ON THEM YOU COULD BUY A COUPLE DECENT ONES"	0
"I play guitar and keyboard and, sometimes, I need to quickly put guitar on my back to play keyboards. I would not do that without this straplok."	1
"4 stars instead of 5 only because this thing won't tune your guitar or carry your amp. I use this solo, in a duo with a bass player, in a trio with drums and bass. I have a regular gig at a medium sized club that is basically one large room. I use it through a Pyle Pro self contained Pa into which I also plug my Martin GRP elec/acoustic. The sound quality is excellent. The volume seems limited only bny what the Pyle Pro will put out. I would have no hesitation using this for bigger rooms with a full band and PA. I haven't heard a hint of feedback and the on/off switch is a plus.The 36.99 price might seem to good to be true but think of the things for which we are paying less for than we used to. I bought a 32&#34; Toshiba flat screen for around 230 bucks, Think of what that would have cost even five years ago or less. The same is true of a lot of Audio Gear. A lot of companies are bringing high quality elctronics and music to the market but it's great to have a company like Shure make something so good and so affordable. They have always made a high quality product and now they have one that almost anyone can afford. I cannot recommend it strongly enough."	1
Well if this review survives the censors just know that these are great screws when you run out of the original screws you were supplied with your new rack.  They work.	1
"Sound nice, but very unreliable BX5a Deluxe.I own a pair of YAMAHA NS 10s and EVENT 20-20s, and they are all currently working without problems with over 10 years use.2 years ago I purchased a set of regular BX5a's, and they lasted about 1 1/2 years, and then the faulty capacitors leaked.I just replaced them with the BX5a Deluxe model, and after only one week. one of the Internal amps will no longer power up.I need a pair of affordable AV shielded monitors that I can depend on, and these Cheap M-Audio Monitors are not it.I am back to using my 20-20's with slight AV noise until I find a decent AV shielded monitor.M-Audio was a much better company before Avid took them over!"	0
"Not too much to say, it's made out of foam, made to slip between the strings, made to hold two picks.  I have several of these, for acoustics and for electrics.  My son lost one before during a performance on stage so it is not that secure that it won't be dislodged, still, it does stay on majority of the time.  I do recommend this.  My son's guitar teacher calls this a ""fancy little pick holder"" and I've had people ask where to buy one when they see it for the first time.  One must also be careful, my son lost one of these so I know it is a possibility of it falling off.  He lost it after performing in a play on stage.Please click YES if my review have been helpful to you, it will encourage me to continue writing and updating my reviews, and leave a comment if you have any questions, I will be more than happy to answer if I can be of help."	1
I love this cable. It is perfect for making guitar changes without noise. The cable itself does not seem quite as good quality as my other Planet Waves cables but it is still better than most others. The switch is easy to use.	1
"The version I picked came with a grounding wire, claiming that using the wire in conjunction with the brush would discharge all of the electrostatic-producing snap, crackles, and pops.  If you believe that, continue to do so, and maybe you'll imagine less surface noise than was the case before employing the device.  Speaking more pragmatically, I've found some use for the item only when loose, conspicuous debris has collected on the surface of a vinyl disc."	0
"If you've never had a pedalboard before I'd say pass on this one and look for one that is more user-friendly.  The pics and description don't show just how insanely large this is.  It's too big.  Patch cables are crap and the power supply didn't seem sturdy enough to be kicked around.Besides this, I had trouble using it (even for practice) because the lip of the case gets in the way of my foot hitting the pedals.I ended up giving this one away to a friend and getting a Gator 'bone' and a seperate power supply.  Easier to practice with and easier to toss into another case with mics/cables rather than being a whole suitcase on it's own."	0
This is a very good cable. I don't forsee having any problems with it. It's just right for hooking my pedals together eithout the mesws of long cables. If you need this get it. The price is right and shipping was right on time.	1
"Im starting a podcast. I blindly lept to buy the blue yeti. I can understand why one person with a youtube channel would love this. Great for voice overs. In sound proof studios. The sound quality was good but it picked up WAY TO MUCH ROOM NOISE. The ability to select the 4 recording modes is great. If youll use it. I would not reccomend recording 2 people at once on this. However recording a choir or something would work. But I will never do that and neither will you. This microphone only has a usb port. Not XLR. So no hope of expanding. If you ever want to host a podcast with 2 people you need to throw this away and get a mixer and 2 new microphones.Or you can do what I did and get 2 Audio Technica ATR 2100's, 1 Behringer Xenyx 802 dual mic input Mixer, 2 shock mount/broadcast boom combos and 2 windscreens for the same price as a yeti, raidus shock mount, the pop pop filter and a generic mic stand.Now I can replace my mixer and keep my 2 mics, or replace the mics then the mixer and do all sorts of expansions and add ons as well as get quality audio for 2 hosts on my podcast.Do not get this yeti unless your doing youtube voiceovers by yourself forever"	0
"I gave it two stars because the expression pedal stopped working after the second day , and visually it's hard to read because the lettering is so small. Also there are  many function for one knob to have, a little confusion for me. The sounds are great and the recording aspect of it is nice, but not something that is best for my needs.I am looking into a Boss ME-25 instead,"	0
"This is a fantastic product that is well made. The plastic is heavy duty and comes with a plastic cover that must be removed before use. This ensures that the wheel you get is in perfect condition.The tool is extremely useful. I have just started playing with a band, and it is very common for band members to call out a song and the key that it is in. With the wheel, I immediately know what chords to choose from. I also know what notes are in each chord. In addition, it has a note by note image of the entire fretboard so that you can see where the roots are for the scale you are playing.The wheel is also invaluable for switching keys. For example, say you're playing the I, IV, and V chords in the key of C., but your lead singer is having trouble and would rather sing it in Bb. All you need to do is dial the wheel to Bb, find out the new I, IV, and V chords, and start playing. The wheel makes chord transposition a breeze.I feel that the negative reviews you are seeing are unfair. This is a very useful product at a fair price.No, I am not affiliated with the company at all. I'm just a band member newbie who appreciates this tool.In my opinion, this is a five star product."	0
"A very boring, dull, uninspiring Pedal. Don't waste your time with this. A Boss SD-1 or Digitech Bad Monkey are far better options for this price range."	0
"I love BOSS pedals. I owned a DS-1 (Distortion) and a MT-2 (Metal Zone) for years, and loved them both. This one, is a good ""meet in the middle"" of those two. It's great if you want some really good bluesy distortion, or you can crank the color and get some thick distortion.As always, this pedal is very well constructed and sturdy. I love it."	1
"These are great cables. The only con I could give is if they go bad...no opening up the ends to fix them, but in my experience they are durable. Most people are using these on a pedal board so there's not a lot of movement to wear them down."	1
"The plastic piece that screws the wire into the end was made of VERY thin plastic, and cracked in two within a week of light use. I guess I can redo it with electrical tape to make it work, but I have many Whirlwind cables that have lasted me 15+ years. I expected more from this manufacturer, but I guess the quality is not the same as it used to be."	0
"This ""would"" be a great digital reverb but for the fact that the more you turn the level up on the reverb intensity, it simultaneously fades the initial attach of the strum, pluck or riff rendering the reverb relatively worthless if you 'want a lot of reverb"". What the hell was Behringer thinking???"	0
I replaced the Schaller strap locks on my Strat with these. The Schaller ones ground on the connecting hardware to the point where I had to oil them a few times a month or I'd end up with an audible creak.Hands-down I like the Dunlop ones more. They installed in just a few minutes and the guitar feels very secure. No problems whatsoever. I just ordered my third set a few minutes ago.I'm a total convert - every new guitar I get is going to get a set of these put on it.	1
"not so pleased with this, the seller is fine, no prob. there, its that this mic for my use is useless, it records tooo low, cant get enough volume from it"	0
I play my I-pod through a small guitar Amp.  Great way to wake up the kids.  Works perfectly for the purpose.  Keep in mind small end for I-Pod is stereo and large end that goes into amp in mono.  If needing a stereo jack at both ends get something else.	1
This is a proven classic.  Using it to mic my Mesa Boogie Mark V 1x12 cabinet.  Sounds fantastic and is solidly built.	1
"I purchased these as well as the Jim Dunlop 7000 locks.  I recommend the 7000 model.  They both work the same way and are made pretty much the same way, but these are just to big and clumsy.  The 7000 model does the same and doesn't take as much space.  You will need the straps to either be thin at the ends or your strap buttons/pegs to have enough room for the strap and then these units.  This is true for either one of the models.  I have a regular nylon 2&#34; Levy strap and these two models (7000 and 7007SI) work well, but I prefer the smaller, rounder model (7000)."	0
"Pros:-Price point-Good, clean audio quality when working.-Changeable mesh ballsCons:-Limited upper frequency response (&#62;8kHz)-One stopped working after about half an hour of use. It was not dropped or abused in any way.-Requires nearly direct line of sight between transmitter and receiver for any distance greater than 10 feet."	0
"The device itself is difficult to read in bright light.My first one arrived not working at all.The second one arrived with a low battery. What? After three days the battery goes out.I would have returned it, but lost it because it doesn't adhere to the headstock very well. You've been warned."	0
"Ok I understand it now - I use Abelton Live 8 and thought this would be and easy, read cheap, interface to record some instruments with. WRONG! I am returning it. It does not work, has no drivers and is not detected on my Mac (my Mac finds everything). Bought the Focusrite unit instead. Got it to work on garage band but latency was miserable and so was hiss on recordings. Save your money and time. Buy the Focusrite interface or one of the others. Yes over $100 but you either want feedback, hiss and frustration or you want a smooth interface connection with good resonance. It also lacks 1/4 plug, one rca input, you need an addapter. Not what I thought I was getting - dumb me."	0
"I purchased 4 of these, of the four 1 was no good on arrival another failed after 2 short time uses. I will not buy more. The first one was returned after some resistance from the seller the second one had passed the warranty time before it had failed. Suggest thoroughly testing these upon arrival if you purchase these. For the $$$ should be more dependable."	0
"Hosa Cable GTR210 Guitar Instrument Cable - 10ft. is a High quality Instrument Cable, but low cost, won't break the bank. I'm very satisfied with my purchase."	1
"In an attempt to see what's new in the pick industry, I decided to dive in and give these a go.  They are way too flimsy if, like me, you use a heavier pick.  I have always used Dunlop Tortex greens and these Davas just can't compete.  Not only were they too flimsy, but when I played with any aggression (heavy rock-based material), the picks would fly out of my hands.  This was a huge disappointment."	0
"Picked up a cable to test on my new pedalboard, and I couldn't be happier. Doesn't suck tone, cables are sturdy, and they sound great. This replaced a normal straight 1/4 inch cable and saves so much space on my board."	1
I bought a 12 string one in blk.  Love it for simplicity and needed it so I didn't have to keep searching for the other.  Got gold to remind me it is for six strings.	1
I have a 1953 telecaster body and after installing the screw to the pickup they were to long for the body . I had to trim them down	0
It does what it says. It a Kyser Quick Change capo. This capo is great for changing keys in the middle of a song or anytime you are in a hurry. Highly recommended.	1
"This cover does not fit a full size acoustic/electric Hohner guitar.  I measured the whole at 3 7/8&#34;, but this cover does not even come close to fitting!  It measures 4 1/6&#34; in diameter, so check your guitar closely!"	0
"Works great with my Baritone Ukulele.  Same quality as my full size acoustic guitar capo.  Easily fits in my ukulele case, too."	1
"Compared to the SnarkSnark SN-1 Tunertuners, I really like the low profile / leave it on the instrument design of this tuner. The Snark goose neck is easily broken, and hard to keep safe in a gig bag. This works much better in that regard. This one is fairly bright and easy to see in all lighting conditions. It mounts very positively and seems to sense all strings fine.  Tuning accuracy? Hard to say- it just indicates high / low / on pitch, really. I prefer the more precise and wider scale +/1 readout of the Snark. They are much more precise- nearly good enough to intonate an instrument. But this is probably good enough for most, just to get dialed in at the rehearsal or gig.The negatives, and why I can't recommend it are as follows. The battery cover on mine fits very loosely. I worry the battery will fall out very easily. I may end up gluing it in place. It isn't immediately obvious where the battery goes or how to open it, and there's no indicator which way the battery goes in (+ is up I think).  The second fault is that once it is on your headstock the string note letters display perpendicular to the user- that's right, sideways.  On a bass, I don't really need it to tell me which string I'm plucking or tuning, but I still find myself craning my neck sideways to read it. It wouldn't be so hard to read either if the letters weren't so highly stylized, but then turn it on its side, and it is just unreadable - for me, anyhow. I just can't for the life of me work out why they designed it this way."	0
This product is bad quality because the noise it makes. It increases the volume so much that it is better not to use it at all. I'm going to sell this product. I didn't like it.	0
"Well, the Epiphone Les Paul came in earlier this morning!Am I impressed? U bet cha!This thing is simply beautiful! It arrived well padded in a double box. Initially, I spent a few minutes going over the whole guitar with a magnifier to see if I could spot any flaws. NONE! Not a finger print on it anywhere! This guitar is extremely well made and put together right. It was in tune out the box and the action is smooth as butter. The neck is slim (which is good for my thick hands) and the jumbo frets have no burrs or other abnormalities. I put a quarter under the 10th. fret and it's right on the &#34;money&#34;!It's considerably heaver than than I thought.  I would imagine it weighs about 10-14lbs. I have a strap ordered and on the way.The maple top is a work of art with a superior finish. All the metal hardware appears top quality as are the Duncan pickups. This Epiphone is a lot easier to play than any thing I ever had.  Your hand floats over the frets!I don't think you could get a better piece for the price point."	1
Just a basic female XLR to 1/4 inch male adapter. I use these so I can plug my regular mic cables into my keyboard/practice all in one PA.	1
"I bought this for my teen son for Christmas. He loves to play his bass and sing along. He had a different Shure mic and it was totally flat compared to this particular model. Nice and clean sounds, plus it seems pretty sturdy. We did get him a mic stand and it fits on it perfectly and stays put. Shure knocked this one out of the park."	1
"I purchased this stand for my electric guitar and used it for a couple of weeks before the weak weld broke on the neck holder at the top when I placed my guitar in it. Upon close inspection, the weld was very poor and barely attached the neck holder to the upright tube. The tubing is made from very thin round steel tubing that is maybe .025&#34; wall, so don't expect it to take much abuse before it snaps off- even if it is welded better than mine was. Just folding the legs repeatedly back and forth will likely cause it to break or pop out one of light duty aluminum rivets on the legs- it is literally that thin of metal tubing.For $10-11 I did not expect perfection, so to it's credit- it is foam covered where it needs to be and has never scratched my guitars.This stand does have one other good quality- it is CHEAP! Since it was less that $11, I cannot see going through the hassle of returning it. I was able to carefully weld mine back together- but this would probably not be an option for most. The stand might work fine if you don't fold it up regularly and if you leave it set up- but If you need portability and durability- I would definitely purchase a better quality stand."	0
